"CNA_ID"	"Parental_1or2"	"dupOrdel"	"Chr"	"Ref_start"	"Ref_end"	"Gene_names"	"MalfunctionedByCNA"	"mut_order"
1	1	"dup"	"12"	25209848	25209910	"KRAS"	TRUE	2
2	2	"dup"	"5"	112842634	112844125	"APC"	TRUE	6
3	2	"dup"	"5"	112838156	112844125	"APC"	FALSE	8
4	1	"dup"	"5"	112780892	112780902	"APC"	TRUE	12
5	2	"dup"	"17"	7674247	7675469	"TP53"	TRUE	13
6	1	"dup"	"5"	112839144	112839948	"APC"	TRUE	16
7	2	"dup"	"5"	112842963	112843870	"APC"	TRUE	18
8	1	"dup"	"3"	179199007	179200467	"PIK3CA"	TRUE	21
9	2	"dup"	"17"	7673771	7674691	"TP53"	TRUE	23
10	1	"dup"	"5"	112839436	112842997	"APC"	TRUE	24
11	1	"dup"	"12"	25227252	25227411	"KRAS"	TRUE	28
12	1	"dup"	"5"	112840439	112844125	"APC"	TRUE	30
13	1	"dup"	"17"	7676092	7676593	"TP53"	TRUE	31
14	1	"del"	"3"	179234252	179234363	"PIK3CA"	FALSE	32
15	2	"dup"	"3"	179201300	179201882	"PIK3CA"	FALSE	33
16	2	"dup"	"5"	112842495	112844125	"APC"	FALSE	37
17	2	"del"	"5"	112792502	112792528	"APC"	TRUE	39
18	2	"dup"	"3"	179221154	179226039	"PIK3CA"	TRUE	40
19	2	"dup"	"5"	112838715	112840378	"APC"	FALSE	41
20	1	"dup"	"3"	179203628	179206262	"PIK3CA"	TRUE	43
21	2	"dup"	"3"	179210226	179220051	"PIK3CA"	TRUE	45
22	2	"del"	"17"	7674926	7676402	"TP53"	TRUE	46
23	2	"dup"	"5"	112840507	112844125	"APC"	FALSE	48
24	2	"del"	"5"	112842883	112844125	"APC"	TRUE	50
25	2	"dup"	"17"	7673798	7675969	"TP53"	TRUE	53
26	2	"dup"	"3"	179199854	179201437	"PIK3CA"	FALSE	54
27	2	"dup"	"17"	7676146	7676593	"TP53"	TRUE	58
28	1	"dup"	"3"	179221056	179228186	"PIK3CA"	TRUE	59
29	2	"dup"	"5"	112841280	112842841	"APC"	TRUE	60
30	1	"dup"	"3"	179199864	179201539	"PIK3CA"	TRUE	61
31	1	"dup"	"5"	112842301	112844125	"APC"	TRUE	62
32	2	"dup"	"3"	179234203	179234363	"PIK3CA"	TRUE	63
33	1	"dup"	"3"	179219705	179230452	"PIK3CA"	TRUE	67
34	2	"dup"	"5"	112839561	112841172	"APC"	TRUE	68
35	1	"dup"	"5"	112843455	112844125	"APC"	FALSE	69
36	1	"dup"	"17"	7676118	7676593	"TP53"	TRUE	72
37	1	"dup"	"17"	7674930	7676402	"TP53"	TRUE	73
38	1	"dup"	"5"	112843233	112844125	"APC"	TRUE	74
39	2	"dup"	"5"	112840219	112844125	"APC"	FALSE	75
40	2	"dup"	"5"	112838152	112839937	"APC"	TRUE	76
41	1	"dup"	"17"	7670656	7674970	"TP53"	TRUE	77
42	2	"del"	"5"	112839114	112844125	"APC"	TRUE	79
43	2	"dup"	"3"	179224767	179226189	"PIK3CA"	TRUE	83
44	2	"dup"	"5"	112827235	112828005	"APC"	TRUE	84
45	1	"dup"	"17"	7676102	7676593	"TP53"	TRUE	85
46	1	"dup"	"5"	112827230	112828005	"APC"	TRUE	91
47	2	"del"	"5"	112839825	112840016	"APC"	TRUE	92
48	2	"dup"	"5"	112841702	112843174	"APC"	TRUE	93
49	1	"dup"	"5"	112840382	112842197	"APC"	TRUE	94
50	1	"del"	"17"	7676160	7676593	"TP53"	TRUE	95
51	2	"del"	"5"	112801310	112801382	"APC"	FALSE	98
52	1	"dup"	"3"	179209614	179220051	"PIK3CA"	TRUE	100
53	1	"del"	"5"	112843664	112844125	"APC"	TRUE	104
54	1	"dup"	"5"	112844013	112844125	"APC"	FALSE	106
55	2	"dup"	"5"	112841304	112844125	"APC"	TRUE	107
56	1	"dup"	"5"	112842589	112843823	"APC"	TRUE	109
57	2	"dup"	"3"	179225966	179230375	"PIK3CA"	TRUE	110
58	1	"dup"	"5"	112840499	112842122	"APC"	FALSE	111
59	2	"dup"	"5"	112839157	112839430	"APC"	TRUE	113
60	1	"dup"	"3"	179201375	179204724	"PIK3CA"	TRUE	115
61	1	"dup"	"17"	7673729	7676593	"TP53"	TRUE	116
62	1	"dup"	"12"	25225741	25227411	"KRAS"	TRUE	118
63	2	"dup"	"5"	112828910	112828971	"APC"	TRUE	119
64	2	"dup"	"5"	112840399	112841877	"APC"	TRUE	120
65	2	"dup"	"3"	179230065	179230192	"PIK3CA"	TRUE	121
66	2	"dup"	"5"	112842953	112843881	"APC"	TRUE	129
67	2	"dup"	"5"	112843466	112843875	"APC"	TRUE	131
68	1	"dup"	"5"	112840634	112844125	"APC"	TRUE	133
69	2	"dup"	"5"	112837571	112839220	"APC"	TRUE	136
70	2	"dup"	"5"	112767321	112767389	"APC"	TRUE	137
71	2	"dup"	"5"	112840845	112844125	"APC"	TRUE	138
72	2	"dup"	"5"	112841416	112842535	"APC"	TRUE	139
73	2	"del"	"3"	179224124	179224376	"PIK3CA"	FALSE	140
74	2	"dup"	"5"	112827219	112828971	"APC"	FALSE	142
75	2	"dup"	"3"	179229433	179230375	"PIK3CA"	TRUE	145
76	1	"dup"	"5"	112838208	112840711	"APC"	TRUE	146
77	2	"dup"	"5"	112841703	112844125	"APC"	TRUE	147
78	1	"dup"	"17"	7673537	7673697	"TP53"	TRUE	148
79	1	"dup"	"3"	179221076	179224186	"PIK3CA"	FALSE	150
80	1	"dup"	"5"	112819023	112820603	"APC"	FALSE	151
81	2	"dup"	"5"	112839965	112844125	"APC"	TRUE	154
82	1	"dup"	"5"	112838874	112841349	"APC"	TRUE	155
83	2	"dup"	"5"	112838755	112839120	"APC"	TRUE	158
84	2	"dup"	"5"	112842199	112844125	"APC"	TRUE	159
85	2	"dup"	"5"	112840353	112841840	"APC"	TRUE	160
86	1	"dup"	"5"	112819052	112821944	"APC"	TRUE	161
87	1	"del"	"3"	179219243	179226039	"PIK3CA"	FALSE	162
88	1	"dup"	"12"	25225655	25226594	"KRAS"	TRUE	163
89	1	"dup"	"3"	179226010	179227344	"PIK3CA"	FALSE	164
90	2	"dup"	"3"	179220003	179224186	"PIK3CA"	TRUE	165
91	1	"dup"	"3"	179198914	179200859	"PIK3CA"	FALSE	167
92	1	"dup"	"5"	112841789	112842039	"APC"	TRUE	168
93	1	"dup"	"5"	112841239	112842355	"APC"	TRUE	169
94	2	"dup"	"3"	179219683	179221156	"PIK3CA"	TRUE	172
95	1	"dup"	"17"	7676039	7676593	"TP53"	TRUE	173
96	1	"dup"	"5"	112837875	112839639	"APC"	TRUE	175
97	1	"dup"	"5"	112842495	112842564	"APC"	TRUE	177
98	1	"del"	"5"	112841003	112844125	"APC"	FALSE	178
99	1	"dup"	"17"	7676024	7676593	"TP53"	TRUE	179
100	1	"dup"	"5"	112843605	112844125	"APC"	TRUE	181
101	1	"dup"	"5"	112840720	112842275	"APC"	TRUE	184
102	2	"dup"	"5"	112827930	112844125	"APC"	TRUE	185
103	1	"dup"	"3"	179203656	179204041	"PIK3CA"	TRUE	190
104	1	"del"	"5"	112840129	112844125	"APC"	TRUE	192
105	2	"dup"	"12"	25245376	25245383	"KRAS"	TRUE	193
106	2	"dup"	"5"	112767283	112767389	"APC"	TRUE	194
107	2	"dup"	"5"	112840199	112840471	"APC"	TRUE	195
108	2	"dup"	"5"	112839776	112844125	"APC"	TRUE	196
109	2	"dup"	"5"	112841795	112844125	"APC"	TRUE	197
110	2	"dup"	"5"	112837644	112838558	"APC"	FALSE	200
111	2	"del"	"5"	112838847	112839170	"APC"	TRUE	201
112	1	"dup"	"5"	112837743	112842495	"APC"	TRUE	202
113	1	"dup"	"3"	179224718	179229441	"PIK3CA"	TRUE	203
114	2	"dup"	"3"	179224818	179224946	"PIK3CA"	TRUE	204
115	1	"dup"	"5"	112842082	112843273	"APC"	FALSE	205
116	2	"dup"	"5"	112843569	112844125	"APC"	TRUE	206
117	2	"dup"	"3"	179198916	179200189	"PIK3CA"	FALSE	208
118	2	"dup"	"12"	25209866	25209910	"KRAS"	FALSE	210
119	1	"dup"	"12"	25225753	25225772	"KRAS"	FALSE	212
120	1	"dup"	"5"	112842782	112844125	"APC"	TRUE	215
121	2	"dup"	"5"	112843880	112844047	"APC"	TRUE	219
122	1	"dup"	"5"	112844016	112844125	"APC"	TRUE	220
123	2	"del"	"5"	112841090	112844125	"APC"	TRUE	221
124	1	"dup"	"3"	179203592	179204587	"PIK3CA"	TRUE	223
125	1	"dup"	"5"	112841889	112844125	"APC"	TRUE	224
126	1	"dup"	"5"	112844112	112844125	"APC"	TRUE	228
127	2	"dup"	"5"	112780793	112780902	"APC"	TRUE	231
128	1	"dup"	"5"	112841546	112842192	"APC"	TRUE	232
129	2	"dup"	"3"	179198917	179201361	"PIK3CA"	TRUE	233
130	1	"dup"	"17"	7676523	7676593	"TP53"	FALSE	234
131	1	"dup"	"5"	112766337	112766347	"APC"	FALSE	236
132	1	"dup"	"5"	112838064	112844125	"APC"	TRUE	238
133	2	"dup"	"5"	112839542	112839736	"APC"	TRUE	239
134	1	"dup"	"5"	112838004	112838674	"APC"	TRUE	241
135	2	"del"	"3"	179234216	179234363	"PIK3CA"	FALSE	242
136	2	"dup"	"5"	112844114	112844125	"APC"	TRUE	243
137	2	"dup"	"3"	179219259	179223217	"PIK3CA"	TRUE	245
138	2	"dup"	"5"	112838273	112842567	"APC"	TRUE	248
139	2	"dup"	"12"	25225734	25225772	"KRAS"	TRUE	249
140	2	"dup"	"3"	179209648	179210564	"PIK3CA"	TRUE	250
141	2	"del"	"5"	112842863	112844125	"APC"	TRUE	256
142	1	"dup"	"5"	112840723	112844125	"APC"	TRUE	259
143	2	"dup"	"3"	179221017	179227091	"PIK3CA"	TRUE	261
144	2	"dup"	"3"	179198880	179201539	"PIK3CA"	TRUE	262
145	1	"dup"	"5"	112843550	112844125	"APC"	TRUE	264
146	2	"dup"	"3"	179210295	179210564	"PIK3CA"	TRUE	265
147	2	"dup"	"5"	112828958	112833999	"APC"	TRUE	266
148	2	"del"	"3"	179209596	179214401	"PIK3CA"	FALSE	268
149	2	"dup"	"5"	112842865	112844125	"APC"	TRUE	270
150	1	"dup"	"3"	179218301	179221156	"PIK3CA"	TRUE	271
151	2	"dup"	"17"	7676394	7676593	"TP53"	FALSE	272
152	1	"dup"	"3"	179230231	179230375	"PIK3CA"	FALSE	273
153	1	"dup"	"3"	179201537	179210564	"PIK3CA"	TRUE	276
154	2	"dup"	"17"	7674859	7676271	"TP53"	TRUE	278
155	1	"dup"	"5"	112767343	112767389	"APC"	TRUE	279
156	1	"del"	"5"	112838497	112844001	"APC"	TRUE	280
157	1	"dup"	"5"	112839581	112844125	"APC"	TRUE	281
158	2	"del"	"3"	179199848	179205722	"PIK3CA"	FALSE	284
159	1	"dup"	"5"	112837554	112842521	"APC"	TRUE	286
160	2	"dup"	"5"	112837886	112844125	"APC"	FALSE	287
161	2	"dup"	"3"	179203783	179204996	"PIK3CA"	TRUE	288
162	2	"dup"	"17"	7670678	7673836	"TP53"	TRUE	290
